Query Type | User | Database | Table | Query | Status | Timestamp
Update | chand | db1 | students | update students set id=1 where id=4; | Success | 2021-12-06T04:15:42.756311100Z
Update | chand | db1 | me | update me set id=1 where id=5; | Failure | 2021-12-06T04:25:03.490896900Z
Update | chand | db1 | me | update me set id=3 where id=5; | Failure | 2021-12-06T04:26:14.134399500Z
Query Operation   | lokansh | db2 | null | create database db2 | Success  | 2021-12-06T21:22:23.894331Z
Create  | lokansh | null | null | create table demo(id int, name varchar) | Success  | 2021-12-06T21:25:30.928544Z
Create  | lokansh | null | null | create table demo(id int, name varchar) | Failure  | 2021-12-06T21:25:30.928544Z
Insert   | lokansh |  | students | insert into students values(5,'heidlk',5t); | Success  | 2021-12-06T21:28:54.708598Z
Insert   | lokansh |  | people | insert into people values(5,67); | Success  | 2021-12-06T21:28:54.708598Z
Create  | lokansh | null | null | create table students(id int,name varchar(20)) | Success  | 2021-12-07T17:00:24.513880Z
Create  | lokansh | null | null | create table students(id int,name varchar(20)) | Failure  | 2021-12-07T17:00:24.513880Z
